,r_spotId,title,area_code,Unnamed: 0,date,avgTemp,highTemp,lowTemp,rainProb,weather,datetime,month,weekday,season,Unnamed: 0.1,contentsid,predict
4122,459.0,항몽유적지,7,63,2023-12-11,16.833333333333332,20,14,60,4,2023-12-11 00:00:00,December,0,winter,,,32.188812
1012,113.0,법환포구,5,49,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,32.109386
2226,248.0,엉또폭포,5,48,2023-12-14,18.95833333333333,21,15,60,4,2023-12-14 00:00:00,December,3,winter,,,32.05104
407,46.0,김녕미로공원,6,56,2023-12-13,13.583333333333334,15,11,30,4,2023-12-13 00:00:00,December,2,winter,,,32.026276
579,65.0,닭머르해안길,8,75,2023-12-14,16.125,18,13,30,4,2023-12-14 00:00:00,December,3,winter,,,31.99433
677,76.0,도두항,11,101,2023-12-13,13.333333333333334,16,11,30,4,2023-12-13 00:00:00,December,2,winter,,,31.949965
643,72.0,더마파크,10,94,2023-12-15,18.0,19,17,90,4,2023-12-15 00:00:00,December,4,winter,,,31.946507
657,74.0,도두봉,11,99,2023-12-11,17.75,20,15,65,4,2023-12-11 00:00:00,December,0,winter,,,31.93841
406,46.0,김녕미로공원,6,55,2023-12-12,12.666666666666666,14,12,30,4,2023-12-12 00:00:00,December,1,winter,,,31.924683
4124,459.0,항몽유적지,7,65,2023-12-13,13.041666666666666,16,11,30,4,2023-12-13 00:00:00,December,2,winter,,,31.903633
2789,310.0,제주공룡랜드,7,71,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,31.88836
967,108.0,박물관은살아있다제주중문점,5,49,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,31.839401
1368,153.0,새연교,5,45,2023-12-11,18.416666666666668,20,16,89,4,2023-12-11 00:00:00,December,0,winter,,,31.74815
1052,117.0,본태박물관,3,35,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,31.676163
3983,443.0,한라산국립공원,11,104,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,31.656305
3982,443.0,한라산국립공원,11,103,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,31.600834
1009,113.0,법환포구,5,46,2023-12-12,15.208333333333334,17,13,30,4,2023-12-12 00:00:00,December,1,winter,,,31.581923
549,62.0,다랑쉬오름,6,54,2023-12-11,16.75,19,14,64,4,2023-12-11 00:00:00,December,0,winter,,,31.566547
2668,297.0,이호테우말등대,11,103,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,31.564056
1664,185.0,세계자동차&피아노박물관,3,35,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,31.540438
4278,476.0,황우지해안,5,48,2023-12-14,18.95833333333333,21,15,60,4,2023-12-14 00:00:00,December,3,winter,,,31.438751
963,108.0,박물관은살아있다제주중문점,5,45,2023-12-11,18.416666666666668,20,16,89,4,2023-12-11 00:00:00,December,0,winter,,,31.412043
10,1.0,1100고지 코스,20,59,2022-04-01,0.0,0,0,0,6,2022-05-19,January,1,spring,4.0,CNTS_000000000021772,31.389397
2494,278.0,운진항,1,10,2023-12-12,12.333333333333334,14,11,60,4,2023-12-12 00:00:00,December,1,winter,,,31.372705
659,74.0,도두봉,11,101,2023-12-13,13.333333333333334,16,11,30,4,2023-12-13 00:00:00,December,2,winter,,,31.364466
554,62.0,다랑쉬오름,6,59,2023-12-16,7.5,8,7,90,4,2023-12-16 00:00:00,December,5,winter,,,31.307354
1008,113.0,법환포구,5,45,2023-12-11,18.416666666666668,20,16,89,4,2023-12-11 00:00:00,December,0,winter,,,31.256521
2788,310.0,제주공룡랜드,7,70,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,31.255945
4277,476.0,황우지해안,5,47,2023-12-13,15.0,17,13,30,4,2023-12-13 00:00:00,December,2,winter,,,31.255539
1016,113.0,법환포구,5,53,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,31.250378
2498,278.0,운진항,1,14,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,31.135614
577,65.0,닭머르해안길,8,73,2023-12-12,12.416666666666666,14,12,60,4,2023-12-12 00:00:00,December,1,winter,,,31.080679
1051,117.0,본태박물관,3,34,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,31.043749
1663,185.0,세계자동차&피아노박물관,3,34,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,30.90802
3956,440.0,한담해변,7,68,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,30.899084
3885,432.0,피규어뮤지엄제주,3,33,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,30.835611
