title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
포도뮤지엄,3,426.0,2023-11-23,14.5,17,12,40,4,13.279795
수산봉,7,204.0,2023-11-23,14.5,17,12,40,4,13.279795
렛츠런파크제주,8,92.0,2023-11-23,14.5,17,12,40,4,13.279795
노리매,1,56.0,2023-11-23,14.5,17,12,40,4,13.279795
토토아뜰리에,7,420.0,2023-11-23,14.5,17,12,40,4,13.279795
사진놀이터,7,132.0,2023-11-23,14.5,17,12,40,4,13.279795
탑동광장,11,414.0,2023-11-23,14.5,17,12,40,4,13.279795
조천함덕해안도로,8,375.0,2023-11-23,14.5,17,12,40,4,13.279795
한라생태숲,11,448.0,2023-11-23,14.5,17,12,40,4,13.279795
일출랜드,2,299.0,2023-11-23,14.0,17,11,40,4,13.279795
초콜릿박물관,1,406.0,2023-11-23,14.5,17,12,40,4,13.279795
바리메오름,7,106.0,2023-11-23,14.5,17,12,40,4,13.279795
거문오름탐방안내소,8,16.0,2023-11-23,14.5,17,12,40,4,13.279795
캐니언파크제주,11,409.0,2023-11-23,14.5,17,12,40,4,13.279795
청굴물,6,402.0,2023-11-23,14.0,17,11,40,4,13.279795
동백동산,8,84.0,2023-11-23,14.5,17,12,40,4,13.279795
대유랜드,5,68.0,2023-11-23,14.5,17,12,40,4,13.279795
세리월드,5,186.0,2023-11-23,14.5,17,12,40,4,13.279795
큰노꼬메오름,7,411.0,2023-11-23,14.5,17,12,40,4,13.279795
어영소공원,11,244.0,2023-11-23,14.5,17,12,40,4,13.279795
하모해수욕장,1,437.0,2023-11-23,14.5,17,12,40,4,13.279795
문도지오름,10,103.0,2023-11-23,15.0,17,13,40,4,13.279795
싱계물공원,9,224.0,2023-11-23,15.0,17,13,40,4,13.279795
돈내코유원지,5,79.0,2023-11-23,14.5,17,12,40,4,13.279795
알작지,11,237.0,2023-11-23,14.5,17,12,40,4,13.279795
액트몬제주중문점,5,239.0,2023-11-23,14.5,17,12,40,4,13.279795
월정리투명카약,6,282.0,2023-11-21,13.5,18,9,0,1,13.243587
소천지,5,193.0,2023-11-23,14.5,17,12,40,4,13.234043
원앙폭포,5,279.0,2023-11-16,15.333333333333334,19,13,66,4,13.229452
옷귀마테마타운,0,259.0,2023-11-19,14.5,18,11,10,1,13.219249
제주승마공원,7,333.0,2023-11-23,14.5,17,12,40,4,13.217582
청초밭영농조합법인,4,404.0,2023-11-19,13.0,18,8,10,1,13.207558
상가리야자숲,7,147.0,2023-11-23,14.5,17,12,40,4,13.192137
돈내코계곡,5,78.0,2023-11-24,11.5,13,10,40,4,13.182252
하례감귤체험농장,0,436.0,2023-11-16,12.708333333333334,17,10,62,4,13.179958
고흐의정원,2,26.0,2023-11-24,10.5,13,8,40,4,13.179655
새섬,5,152.0,2023-11-19,14.5,18,11,10,1,13.173532
왈종미술관,5,261.0,2023-11-19,14.5,18,11,10,1,13.164309
세리월드,5,186.0,2023-11-16,15.333333333333334,19,13,66,4,13.163472
돈내코유원지,5,79.0,2023-11-16,15.333333333333334,19,13,66,4,13.163472
강정포구,5,13.0,2023-11-16,15.333333333333334,19,13,66,4,13.163472
제주올레7코스,5,353.0,2023-11-16,15.333333333333334,19,13,66,4,13.163472
액트몬제주중문점,5,239.0,2023-11-16,15.333333333333334,19,13,66,4,13.163472
대유랜드,5,68.0,2023-11-16,15.333333333333334,19,13,66,4,13.163472
"숨,도",5,210.0,2023-11-16,15.333333333333334,19,13,66,4,13.163472
퍼시픽리솜,5,424.0,2023-11-16,15.333333333333334,19,13,66,4,13.163472
보목포구,5,116.0,2023-11-16,15.333333333333334,19,13,66,4,13.163472
감귤박물관,5,9.0,2023-11-16,15.333333333333334,19,13,66,4,13.163472
왕따나무,10,262.0,2023-11-20,14.0,16,12,0,1,13.162968
답다니수국밭,5,66.0,2023-11-15,15.307692307692308,18,13,30,4,13.145326
휴림,7,478.0,2023-11-19,14.5,18,11,10,1,13.136207
제주도립김창열미술관,9,313.0,2023-11-16,13.0,16,10,62,4,13.133522
새별오름나홀로나무,7,150.0,2023-11-19,14.5,18,11,10,1,13.129294
소천지,5,193.0,2023-11-16,15.333333333333334,19,13,66,4,13.117721
짱구네유채꽃밭,2,392.0,2023-11-24,10.5,13,8,40,4,13.11082
라플라이,8,90.0,2023-11-19,14.5,18,11,10,1,13.106536
삼무공원,11,143.0,2023-11-15,13.307692307692308,16,11,30,4,13.105899
고근산,5,22.0,2023-11-18,11.75,15,9,60,4,13.097037
신양섭지해수욕장,2,215.0,2023-11-16,13.083333333333334,17,10,60,4,13.093606
플레이네이쳐,3,431.0,2023-11-23,14.5,17,12,40,4,13.073771
엉알해안산책로,9,249.0,2023-11-20,14.0,16,12,0,1,13.0728855
한림매일시장,10,451.0,2023-11-21,14.5,17,12,0,1,13.066003
